Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"AdvancedPageProc",,,,1,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,1,14,1,9,0,0,0,2,3,5,8,0,0,8,3,2,3,1,4,,,,,0,,1,0,,0.00,,,,
Class,"AnonymousDerivedProtectedOnDerived",0,1,0,0,5,0,1,1,1,1,1,0,1,0,1,0,0,,0,0,,,,,1,0,0,0,0,1,1,0,0,0,1,0,,5,0,5,2,0,0,0,0,,,,1,1,0,0,,,,,,1,1,1,1,,1,,,0,0.00,1,1,1,1
Protected Function,"AnonymousDerivedProtectedOnDerived::~AnonymousDerivedProtectedOnDerived",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Class,"AnonymousDerivedProtectedToPublicInImpl",0,1,0,0,6,0,1,1,1,1,1,0,1,0,1,0,0,,0,0,,,,,2,0,0,0,0,2,2,0,0,0,0,2,,6,0,6,3,0,0,0,0,,,,2,2,0,0,,,,,,1,1,1,1,,1,,,0,0.00,2,2,2,2
Public Function,"AnonymousDerivedProtectedToPublicInImpl::AnonymousDerivedProtectedToPublicInImpl",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Virtual Function,"AnonymousDerivedProtectedToPublicInImpl::~AnonymousDerivedProtectedToPublicInImpl",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"BGLView::AllAttached",,,,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,4,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.25,,,,
Public Function,"BGLView::AllDetached",,,,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,4,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.25,,,,
Public Const Function,"BGLView::Archive",,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,1,0,0,0,2,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"BGLView::AttachedToWindow",,,,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,5,1,2,1,0,0,2,1,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.20,,,,
Public Function,"BGLView::BGLView",,,,16,68,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,97,16,68,34,58,14,0,0,29,6,44,47,17,0,30,15,15,15,1,1,,,,,0,,1,0,,0.21,,,,
Public Function,"BGLView::CopyPixelsIn",,,,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,8,2,5,0,0,0,5,2,4,5,1,0,4,2,2,3,1,1,,,,,0,,1,0,,0.00,,,,
Public Function,"BGLView::CopyPixelsOut",,,,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,8,2,5,0,0,0,5,2,4,5,1,0,4,2,2,3,1,1,,,,,0,,1,0,,0.00,,,,
Public Function,"BGLView::DetachedFromWindow",,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"BGLView::DirectConnected",,,,1,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,0,3,1,0,0,27,2,0,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"BGLView::Draw",,,,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,6,2,3,1,0,0,2,1,3,3,1,0,2,1,1,1,1,0,,,,,0,,0,0,,0.17,,,,
